Year,Area,Cancer Type,Age-Adjusted Rate,Case Count,Population
2000,Utah,All Types of Cancer,402.4,6565,2244502
2000,Vermont,All Types of Cancer,490.9,3099,609618
2000,Virginia,All Types of Cancer,438.7,29638,7105817
2000,Washington,All Types of Cancer,507,28106,5910512
2000,West Virginia,All Types of Cancer,504,10630,1807021
2000,Wisconsin,All Types of Cancer,487.1,26699,5373999
2000,Wyoming,All Types of Cancer,465.7,2234,494300
2001,Alabama,All Types of Cancer,454.6,21087,4467634
2001,Alaska,All Types of Cancer,517.3,2189,633714
2001,Arizona,All Types of Cancer,440.9,23353,5273477
2001,Arkansas,All Types of Cancer,457.8,13256,2691571
2001,California,All Types of Cancer,467.4,142485,34479458
2001,Colorado,All Types of Cancer,470.8,17832,4425687
2001,Connecticut,All Types of Cancer,532.8,19668,3432835
2001,Delaware,All Types of Cancer,528.5,4329,795699
2001,District of Columbia,All Types of Cancer,512,2884,574504
2001,Florida,All Types of Cancer,522.2,105642,16356966
2001,Georgia,All Types of Cancer,484.2,34556,8377038
2001,Hawaii,All Types of Cancer,434.8,5593,1225948
2001,Idaho,All Types of Cancer,470.2,5752,1319962
2001,Illinois,All Types of Cancer,504,60952,12488445
2001,Indiana,All Types of Cancer,498.4,30280,6127760
2001,Iowa,All Types of Cancer,496.2,16232,2931997
2001,Kansas,All Types of Cancer,466.8,12808,2702162
2001,Kentucky,All Types of Cancer,531.9,21915,4068132
2001,Louisiana,All Types of Cancer,505,21430,4477875
2001,Maine,All Types of Cancer,542,7862,1285692
2001,Maryland,All Types of Cancer,476.2,24619,5374691
2001,Massachusetts,All Types of Cancer,526.4,35256,6397634
2001,Michigan,All Types of Cancer,522.5,51810,9991120
2001,Minnesota,All Types of Cancer,490.4,23669,4982796
2001,Mississippi,All Types of Cancer,0,0
2001,Missouri,All Types of Cancer,478.8,28329,5641142
2001,Montana,All Types of Cancer,512.9,5009,906961
2001,Nebraska,All Types of Cancer,485.6,8675,1719836
2001,Nevada,All Types of Cancer,502.7,9906,2098399
2001,New Hampshire,All Types of Cancer,522.5,6528,1255517
2001,New Jersey,All Types of Cancer,547.2,48429,8492671
2001,New Mexico,All Types of Cancer,433.2,7680,1831690
2001,New York,All Types of Cancer,502.5,98318,19082838
2001,North Carolina,All Types of Cancer,464.2,37516,8210122
2001,North Dakota,All Types of Cancer,466.1,3270,639062
2001,Ohio,All Types of Cancer,485.5,57675,11387404
2001,Oklahoma,All Types of Cancer,470.7,16878,3467100
2001,Oregon,All Types of Cancer,499.8,17860,3467937
2001,Pennsylvania,All Types of Cancer,525.2,74724,12298970
2001,Puerto Rico,All Types of Cancer,0,0
2001,Rhode Island,All Types of Cancer,536.1,6176,1057142
2001,South Carolina,All Types of Cancer,487.7,19790,4064995
2001,South Dakota,All Types of Cancer,486.6,3965,757972
2001,Tennessee,All Types of Cancer,401.4,23436,5750789
2001,Texas,All Types of Cancer,487.6,87650,21319622
2001,United States,All Types of Cancer,491.5,1377113,282115961
2001,Utah,All Types of Cancer,420.1,7020,2283715
2001,Vermont,All Types of Cancer,500.3,3213,612223
2001,Virginia,All Types of Cancer,421.8,29060,7198362
2001,Washington,All Types of Cancer,520.6,29404,5985722
2001,West Virginia,All Types of Cancer,517.2,10982,1801481
2001,Wisconsin,All Types of Cancer,503.7,27934,5406835
2001,Wyoming,All Types of Cancer,457.4,2227,494657
2002,Alabama,All Types of Cancer,456.2,21421,4480089
2002,Alaska,All Types of Cancer,504.2,2246,642337
2002,Arizona,All Types of Cancer,432.5,23551,5396255
2002,Arkansas,All Types of Cancer,452.8,13281,2705927
2002,California,All Types of Cancer,463,144167,34871843
2002,Colorado,All Types of Cancer,463.6,18001,4490406
2002,Connecticut,All Types of Cancer,524.1,19616,3458749
2002,Delaware,All Types of Cancer,517.5,4359,806169
2002,District of Columbia,All Types of Cancer,553.6,3122,573158
2002,Florida,All Types of Cancer,507.5,104735,16689370
2002,Georgia,All Types of Cancer,486.7,35683,8508256
2002,Hawaii,All Types of Cancer,426.9,5624,1239613
2002,Idaho,All Types of Cancer,475.7,5977,1340372
2002,Illinois,All Types of Cancer,510.8,62385,12525556
2002,Indiana,All Types of Cancer,499,30687,6155967
2002,Iowa,All Types of Cancer,497.5,16349,2934234
2002,Kansas,All Types of Cancer,465.6,12911,2713535
2002,Kentucky,All Types of Cancer,524.5,21914,4089875
2002,Louisiana,All Types of Cancer,500.8,21580,4497267
2002,Maine,All Types of Cancer,536.4,7920,1295960
2002,Maryland,All Types of Cancer,501,26486,5440389
2002,Massachusetts,All Types of Cancer,530.5,35939,6417206
2002,Michigan,All Types of Cancer,524.7,52763,10015710
2002,Minnesota,All Types of Cancer,484.8,23833,5018935
2002,Mississippi,All Types of Cancer,0,0
2002,Missouri,All Types of Cancer,478.4,28656,5674825
